seed,activation,r2_mean,r2_worst,cost
11111,TANH,0.909283,0.445614,0.0042235
11111,SIN,0.958718,0.730409,0.0010561
11111,BESSEL,0.988522,0.854439,0.00024616
11111,BESSEL1,0.954802,0.773163,0.0015619
12345,TANH,0.925304,0.439281,0.0031819
12345,SIN,0.963961,0.779112,0.0011113
12345,BESSEL,0.99215,0.902647,0.00018369
12345,BESSEL1,0.958729,0.759834,0.0015162
22222,TANH,0.925926,0.476388,0.0034436
22222,SIN,0.982022,0.821474,0.00037662
22222,BESSEL,0.986324,0.910965,0.000367
22222,BESSEL1,0.985234,0.857691,0.0004674
33333,TANH,0.845921,-0.101253,0.0073847
33333,SIN,0.978019,0.817313,0.00053934
33333,BESSEL,0.936517,0.538471,0.0019525
33333,BESSEL1,0.995484,0.967396,0.00012356
44444,TANH,0.757623,-0.760762,0.0091445
44444,SIN,0.950497,0.685833,0.0013077
44444,BESSEL,0.992732,0.913545,0.00019974
44444,BESSEL1,0.964116,0.778209,0.0013289
55555,TANH,0.857035,-0.0654699,0.0058956
55555,SIN,0.948332,0.601626,0.0016741
55555,BESSEL,0.978876,0.728159,0.00053945
55555,BESSEL1,0.938086,0.527368,0.002087
66666,TANH,0.867325,0.239725,0.0068327
66666,SIN,0.949333,0.743289,0.001674
66666,BESSEL,0.990062,0.891143,0.00028354
66666,BESSEL1,0.986159,0.885771,0.000525
77777,TANH,0.831398,0.0070899,0.0062567
77777,SIN,0.942411,0.570491,0.0014705
77777,BESSEL,0.9769,0.827065,0.00067053
77777,BESSEL1,0.983106,0.891816,0.00066939
88888,TANH,0.815276,-0.411662,0.0076172
88888,SIN,0.918761,0.572701,0.0026973
88888,BESSEL,0.976458,0.75742,0.00051606
88888,BESSEL1,0.953408,0.657067,0.0015683
99999,TANH,0.913631,0.368772,0.004131
99999,SIN,0.946156,0.584002,0.0015177
99999,BESSEL,0.988627,0.859583,0.00035673
99999,BESSEL1,0.993829,0.941682,0.00018723
