# column order of high-order derivative targets
# ia  |alpha|  alpha(1:D0)
1  0   0 0 0 0
2  1   1 0 0 0
3  1   0 1 0 0
4  1   0 0 1 0
5  1   0 0 0 1
6  2   2 0 0 0
7  2   1 1 0 0
8  2   1 0 1 0
9  2   1 0 0 1
10  2   0 2 0 0
11  2   0 1 1 0
12  2   0 1 0 1
13  2   0 0 2 0
14  2   0 0 1 1
15  2   0 0 0 2
16  3   3 0 0 0
17  3   2 1 0 0
18  3   2 0 1 0
19  3   2 0 0 1
20  3   1 2 0 0
21  3   1 1 1 0
22  3   1 1 0 1
23  3   1 0 2 0
24  3   1 0 1 1
25  3   1 0 0 2
26  3   0 3 0 0
27  3   0 2 1 0
28  3   0 2 0 1
29  3   0 1 2 0
30  3   0 1 1 1
31  3   0 1 0 2
32  3   0 0 3 0
33  3   0 0 2 1
34  3   0 0 1 2
35  3   0 0 0 3
