# DNNF90 training history: one row per validation event
#  1:epoch  2:patience
#  3:cost_train    4:cost_val    5:cost_input   (per point;
#    the composite objective, Loss_term weights applied --
#    the same sum the optimizer descends)
#  6:cost_train_f  7:cost_train_df  8:cost_val_f  9:cost_val_df
# 10:cost_input_f 11:cost_input_df
# 12:rmse_train_f 13:rmse_train_df 14:rmse_val_f 15:rmse_val_df
# 16:rmse_input_f 17:rmse_input_df
# 18:mae_train_f  19:mae_train_df  20:mae_val_f  21:mae_val_df
# 22:mae_input_f  23:mae_input_df
1  0    0.20713E+04    0.26957E+04    0.21754E+04    0.51214E-01    0.20713E+04    0.74305E-01    0.26957E+04    0.55063E-01    0.21754E+04    0.32004E+00    0.66372E+02    0.38550E+00    0.75394E+02    0.33185E+00    0.67959E+02    0.26056E+00    0.48690E+03    0.30566E+00    0.57211E+03    0.26807E+00    0.50110E+03
100  0    0.59256E+02    0.79408E+02    0.62615E+02    0.16537E-01    0.59256E+02    0.21837E-01    0.79408E+02    0.17421E-01    0.62615E+02    0.18186E+00    0.11436E+02    0.20899E+00    0.13166E+02    0.18666E+00    0.11742E+02    0.14638E+00    0.94239E+02    0.17411E+00    0.10797E+03    0.15100E+00    0.96528E+02
200  0    0.20114E+02    0.31839E+02    0.22068E+02    0.10396E-01    0.20114E+02    0.14104E-01    0.31839E+02    0.11014E-01    0.22068E+02    0.14419E+00    0.67542E+01    0.16795E+00    0.84046E+01    0.14842E+00    0.70562E+01    0.11731E+00    0.57917E+02    0.14245E+00    0.69118E+02    0.12150E+00    0.59784E+02
300  0    0.10121E+02    0.18373E+02    0.11496E+02    0.73594E-02    0.10121E+02    0.10959E-01    0.18373E+02    0.79593E-02    0.11496E+02    0.12132E+00    0.48655E+01    0.14805E+00    0.64293E+01    0.12617E+00    0.51592E+01    0.99068E-01    0.43822E+02    0.12797E+00    0.53873E+02    0.10388E+00    0.45498E+02
400  0    0.60933E+01    0.12786E+02    0.72087E+01    0.55696E-02    0.60933E+01    0.92408E-02    0.12786E+02    0.61815E-02    0.72087E+01    0.10554E+00    0.38341E+01    0.13595E+00    0.53799E+01    0.11119E+00    0.41321E+01    0.85661E-01    0.35728E+02    0.11737E+00    0.45249E+02    0.90947E-01    0.37314E+02
500  0    0.39465E+01    0.87780E+01    0.47518E+01    0.44447E-02    0.39465E+01    0.80484E-02    0.87780E+01    0.50453E-02    0.47518E+01    0.94284E-01    0.31410E+01    0.12687E+00    0.44918E+01    0.10045E+00    0.34035E+01    0.75660E-01    0.30559E+02    0.10904E+00    0.38971E+02    0.81223E-01    0.31961E+02
600  0    0.25471E+01    0.60796E+01    0.31358E+01    0.35708E-02    0.25471E+01    0.67295E-02    0.60796E+01    0.40973E-02    0.31358E+01    0.84508E-01    0.25887E+01    0.11601E+00    0.37762E+01    0.90524E-01    0.28216E+01    0.67795E-01    0.26309E+02    0.99729E-01    0.33713E+02    0.73118E-01    0.27543E+02
700  0    0.16438E+01    0.40856E+01    0.20508E+01    0.29100E-02    0.16438E+01    0.57845E-02    0.40856E+01    0.33891E-02    0.20508E+01    0.76289E-01    0.21560E+01    0.10756E+00    0.31516E+01    0.82330E-01    0.23514E+01    0.60992E-01    0.22728E+02    0.91604E-01    0.29133E+02    0.66094E-01    0.23796E+02
800  0    0.11737E+01    0.29854E+01    0.14757E+01    0.24514E-02    0.11737E+01    0.50594E-02    0.29854E+01    0.28861E-02    0.14757E+01    0.70021E-01    0.18888E+01    0.10059E+00    0.27471E+01    0.75975E-01    0.20569E+01    0.55711E-01    0.19968E+02    0.84898E-01    0.25678E+02    0.60575E-01    0.20920E+02
900  0    0.93251E+00    0.23095E+01    0.11620E+01    0.21839E-02    0.93251E+00    0.44627E-02    0.23095E+01    0.25637E-02    0.11620E+01    0.66089E-01    0.17371E+01    0.94474E-01    0.24714E+01    0.71606E-01    0.18795E+01    0.52305E-01    0.18412E+02    0.79399E-01    0.23481E+02    0.56821E-01    0.19257E+02
1000  0    0.80896E+00    0.19555E+01    0.10000E+01    0.20183E-02    0.80896E+00    0.41287E-02    0.19555E+01    0.23700E-02    0.10000E+01    0.63534E-01    0.16536E+01    0.90871E-01    0.23124E+01    0.68848E-01    0.17804E+01    0.50067E-01    0.17527E+02    0.76079E-01    0.22141E+02    0.54402E-01    0.18296E+02
1100  0    0.72541E+00    0.16900E+01    0.88617E+00    0.19394E-02    0.72541E+00    0.39213E-02    0.16900E+01    0.22697E-02    0.88617E+00    0.62281E-01    0.15989E+01    0.88558E-01    0.21901E+01    0.67376E-01    0.17117E+01    0.49048E-01    0.17139E+02    0.74198E-01    0.21454E+02    0.53239E-01    0.17858E+02
1200  0    0.65160E+00    0.14822E+01    0.79003E+00    0.18265E-02    0.65160E+00    0.37516E-02    0.14822E+01    0.21473E-02    0.79003E+00    0.60439E-01    0.15445E+01    0.86621E-01    0.20831E+01    0.65534E-01    0.16466E+01    0.47435E-01    0.16536E+02    0.72322E-01    0.20555E+02    0.51583E-01    0.17206E+02
1300  0    0.59708E+00    0.13072E+01    0.71543E+00    0.17511E-02    0.59708E+00    0.35651E-02    0.13072E+01    0.20534E-02    0.71543E+00    0.59180E-01    0.15045E+01    0.84441E-01    0.19911E+01    0.64085E-01    0.15960E+01    0.46297E-01    0.16153E+02    0.70489E-01    0.19911E+02    0.50329E-01    0.16779E+02
1400  0    0.55279E+00    0.11811E+01    0.65750E+00    0.16868E-02    0.55279E+00    0.34059E-02    0.11811E+01    0.19733E-02    0.65750E+00    0.58083E-01    0.14715E+01    0.82534E-01    0.19224E+01    0.62822E-01    0.15557E+01    0.45272E-01    0.15852E+02    0.68910E-01    0.19438E+02    0.49212E-01    0.16450E+02
1500  0    0.51342E+00    0.10572E+01    0.60405E+00    0.16004E-02    0.51342E+00    0.32658E-02    0.10572E+01    0.18780E-02    0.60405E+00    0.56576E-01    0.14384E+01    0.80818E-01    0.18480E+01    0.61286E-01    0.15144E+01    0.43919E-01    0.15393E+02    0.67465E-01    0.18703E+02    0.47844E-01    0.15945E+02
1600  0    0.48235E+00    0.97343E+00    0.56420E+00    0.15338E-02    0.48235E+00    0.31033E-02    0.97343E+00    0.17954E-02    0.56420E+00    0.55387E-01    0.14133E+01    0.78782E-01    0.17980E+01    0.59924E-01    0.14843E+01    0.42988E-01    0.15120E+02    0.65811E-01    0.18294E+02    0.46791E-01    0.15649E+02
1700  0    0.45390E+00    0.89194E+00    0.52691E+00    0.14896E-02    0.45390E+00    0.30081E-02    0.89194E+00    0.17427E-02    0.52691E+00    0.54582E-01    0.13916E+01    0.77564E-01    0.17500E+01    0.59037E-01    0.14575E+01    0.42133E-01    0.14913E+02    0.64589E-01    0.17977E+02    0.45876E-01    0.15423E+02
1800  0    0.43090E+00    0.82357E+00    0.49634E+00    0.14392E-02    0.43090E+00    0.28915E-02    0.82357E+00    0.16813E-02    0.49634E+00    0.53651E-01    0.13729E+01    0.76046E-01    0.17068E+01    0.57987E-01    0.14339E+01    0.41349E-01    0.14687E+02    0.63406E-01    0.17621E+02    0.45025E-01    0.15176E+02
1900  0    0.41194E+00    0.78101E+00    0.47345E+00    0.14065E-02    0.41194E+00    0.28373E-02    0.78101E+00    0.16450E-02    0.47345E+00    0.53038E-01    0.13585E+01    0.75330E-01    0.16804E+01    0.57358E-01    0.14172E+01    0.40894E-01    0.14532E+02    0.62556E-01    0.17402E+02    0.44504E-01    0.15010E+02
2000  0    0.38988E+00    0.72281E+00    0.44537E+00    0.13629E-02    0.38988E+00    0.27317E-02    0.72281E+00    0.15911E-02    0.44537E+00    0.52210E-01    0.13386E+01    0.73914E-01    0.16408E+01    0.56410E-01    0.13936E+01    0.40219E-01    0.14262E+02    0.61310E-01    0.16976E+02    0.43734E-01    0.14715E+02
2100  0    0.37417E+00    0.67787E+00    0.42479E+00    0.13045E-02    0.37417E+00    0.26276E-02    0.67787E+00    0.15250E-02    0.42479E+00    0.51078E-01    0.13236E+01    0.72493E-01    0.16085E+01    0.55227E-01    0.13752E+01    0.39244E-01    0.14018E+02    0.59959E-01    0.16606E+02    0.42696E-01    0.14449E+02
2200  0    0.35829E+00    0.62484E+00    0.40271E+00    0.12693E-02    0.35829E+00    0.25490E-02    0.62484E+00    0.14826E-02    0.40271E+00    0.50384E-01    0.13099E+01    0.71400E-01    0.15727E+01    0.54453E-01    0.13573E+01    0.38621E-01    0.13842E+02    0.58980E-01    0.16281E+02    0.42014E-01    0.14249E+02
2300  0    0.34578E+00    0.59408E+00    0.38717E+00    0.12342E-02    0.34578E+00    0.24654E-02    0.59408E+00    0.14394E-02    0.38717E+00    0.49684E-01    0.12991E+01    0.70220E-01    0.15508E+01    0.53655E-01    0.13443E+01    0.38146E-01    0.13659E+02    0.57809E-01    0.16022E+02    0.41423E-01    0.14053E+02
2400  0    0.33400E+00    0.55727E+00    0.37121E+00    0.11970E-02    0.33400E+00    0.24124E-02    0.55727E+00    0.13996E-02    0.37121E+00    0.48929E-01    0.12885E+01    0.69461E-01    0.15244E+01    0.52907E-01    0.13307E+01    0.37377E-01    0.13515E+02    0.57044E-01    0.15770E+02    0.40654E-01    0.13890E+02
2500  0    0.32532E+00    0.53939E+00    0.36100E+00    0.11753E-02    0.32532E+00    0.23500E-02    0.53939E+00    0.13711E-02    0.36100E+00    0.48482E-01    0.12824E+01    0.68557E-01    0.15129E+01    0.52365E-01    0.13236E+01    0.36992E-01    0.13435E+02    0.56283E-01    0.15689E+02    0.40207E-01    0.13810E+02
2600  0    0.31352E+00    0.51283E+00    0.34674E+00    0.11536E-02    0.31352E+00    0.22532E-02    0.51283E+00    0.13369E-02    0.34674E+00    0.48033E-01    0.12711E+01    0.67129E-01    0.14925E+01    0.51708E-01    0.13106E+01    0.36580E-01    0.13276E+02    0.55001E-01    0.15468E+02    0.39650E-01    0.13641E+02
2700  0    0.30571E+00    0.48995E+00    0.33641E+00    0.11281E-02    0.30571E+00    0.21904E-02    0.48995E+00    0.13052E-02    0.33641E+00    0.47500E-01    0.12640E+01    0.66188E-01    0.14760E+01    0.51091E-01    0.13017E+01    0.36228E-01    0.13174E+02    0.54056E-01    0.15277E+02    0.39199E-01    0.13524E+02
2800  0    0.29990E+00    0.46037E+00    0.32665E+00    0.10828E-02    0.29990E+00    0.21032E-02    0.46037E+00    0.12529E-02    0.32665E+00    0.46537E-01    0.12567E+01    0.64857E-01    0.14514E+01    0.50058E-01    0.12912E+01    0.35323E-01    0.13002E+02    0.52788E-01    0.14975E+02    0.38234E-01    0.13331E+02
2900  0    0.29013E+00    0.44155E+00    0.31537E+00    0.10881E-02    0.29013E+00    0.20603E-02    0.44155E+00    0.12502E-02    0.31537E+00    0.46651E-01    0.12498E+01    0.64191E-01    0.14398E+01    0.50003E-01    0.12834E+01    0.35303E-01    0.12985E+02    0.52274E-01    0.14947E+02    0.38132E-01    0.13312E+02
3000  0    0.28511E+00    0.41867E+00    0.30737E+00    0.10625E-02    0.28511E+00    0.19902E-02    0.41867E+00    0.12171E-02    0.30737E+00    0.46097E-01    0.12451E+01    0.63090E-01    0.14227E+01    0.49337E-01    0.12764E+01    0.34755E-01    0.12892E+02    0.51165E-01    0.14796E+02    0.37490E-01    0.13210E+02
3100  0    0.27801E+00    0.40582E+00    0.29931E+00    0.10453E-02    0.27801E+00    0.19488E-02    0.40582E+00    0.11959E-02    0.29931E+00    0.45724E-01    0.12383E+01    0.62431E-01    0.14118E+01    0.48907E-01    0.12688E+01    0.34363E-01    0.12817E+02    0.50386E-01    0.14679E+02    0.37033E-01    0.13127E+02
3200  0    0.27182E+00    0.38946E+00    0.29143E+00    0.10224E-02    0.27182E+00    0.18713E-02    0.38946E+00    0.11639E-02    0.29143E+00    0.45219E-01    0.12318E+01    0.61177E-01    0.13980E+01    0.48246E-01    0.12610E+01    0.34048E-01    0.12673E+02    0.49152E-01    0.14454E+02    0.36565E-01    0.12970E+02
