seed,activation,loss,rel_error_order7
11111,TANH,0.26128,1.1105
11111,SIN,0.12409,0.754937
11111,BESSEL,0.011223,0.229306
11111,BESSEL1,0.060512,0.531179
22222,TANH,0.23152,1.01727
22222,SIN,0.10672,0.694638
22222,BESSEL,0.035578,0.399024
22222,BESSEL1,0.068156,0.560276
33333,TANH,0.20993,1.00031
33333,SIN,0.11284,0.723102
33333,BESSEL,0.026265,0.350275
33333,BESSEL1,0.016063,0.270522
44444,TANH,0.23489,1.03866
44444,SIN,0.14832,0.823886
44444,BESSEL,0.026108,0.348436
44444,BESSEL1,0.029146,0.368375
55555,TANH,0.20761,0.987938
55555,SIN,0.12939,0.782683
55555,BESSEL,0.063067,0.540466
55555,BESSEL1,0.034077,0.400789
66666,TANH,0.21355,0.980912
66666,SIN,0.070604,0.571563
66666,BESSEL,0.028211,0.364038
66666,BESSEL1,0.077145,0.584866
77777,TANH,0.32356,1.22924
77777,SIN,0.12318,0.750381
77777,BESSEL,0.044481,0.453928
77777,BESSEL1,0.019981,0.297914
88888,TANH,0.21599,1.01558
88888,SIN,0.196,0.968936
88888,BESSEL,0.012755,0.246739
88888,BESSEL1,0.048057,0.483068
