# epoch  line-search objective  step  its  ok
1    0.13836439E+04    0.2677E-04    2   T
2    0.96489772E+03    0.1000E+01    1   T
3    0.87185470E+03    0.1000E+01    1   T
4    0.77296363E+03    0.1000E+01    1   T
5    0.72855394E+03    0.1000E+01    1   T
6    0.69775502E+03    0.1000E+01    1   T
7    0.67251676E+03    0.1000E+01    1   T
8    0.65280515E+03    0.1000E+01    1   T
9    0.63736449E+03    0.1000E+01    1   T
10    0.63040241E+03    0.1000E+01    1   T
11    0.62580731E+03    0.1000E+01    1   T
12    0.60519946E+03    0.1000E+01    1   T
13    0.57146106E+03    0.1000E+01    1   T
14    0.53117345E+03    0.8701E+00    1   T
15    0.51641604E+03    0.1000E+01    1   T
16    0.51159351E+03    0.1000E+01    1   T
17    0.50952538E+03    0.1000E+01    1   T
18    0.50473488E+03    0.1000E+01    1   T
19    0.49713192E+03    0.1000E+01    1   T
20    0.48691604E+03    0.1000E+01    1   T
21    0.46706430E+03    0.1000E+01    1   T
22    0.45395196E+03    0.9504E+00    1   T
23    0.43826380E+03    0.1000E+01    1   T
24    0.43061519E+03    0.1000E+01    1   T
25    0.41995619E+03    0.1000E+01    1   T
26    0.41074939E+03    0.1000E+01    1   T
27    0.40511238E+03    0.1000E+01    1   T
28    0.39928257E+03    0.1000E+01    1   T
29    0.38717388E+03    0.1000E+01    1   T
30    0.37865775E+03    0.1000E+01    1   T
31    0.36790020E+03    0.1000E+01    1   T
32    0.36435177E+03    0.1000E+01    1   T
33    0.35963906E+03    0.1000E+01    1   T
34    0.35240115E+03    0.1000E+01    1   T
35    0.34481450E+03    0.1000E+01    1   T
36    0.33998058E+03    0.1000E+01    1   T
37    0.33204454E+03    0.1000E+01    1   T
38    0.32176996E+03    0.1000E+01    1   T
39    0.31381875E+03    0.1000E+01    1   T
40    0.30380725E+03    0.1000E+01    1   T
41    0.29890733E+03    0.1000E+01    1   T
42    0.29312400E+03    0.1000E+01    1   T
43    0.28374301E+03    0.1000E+01    1   T
44    0.27374893E+03    0.1000E+01    1   T
45    0.26634301E+03    0.1000E+01    1   T
46    0.26008686E+03    0.1000E+01    1   T
47    0.25224802E+03    0.1000E+01    1   T
48    0.23625104E+03    0.1000E+01    1   T
49    0.22329487E+03    0.1000E+01    1   T
50    0.21638115E+03    0.1000E+01    1   T
51    0.21045624E+03    0.1000E+01    1   T
52    0.20234623E+03    0.1000E+01    1   T
53    0.19132388E+03    0.1000E+01    1   T
54    0.18025877E+03    0.1000E+01    1   T
55    0.16981236E+03    0.1000E+01    1   T
56    0.16410661E+03    0.1000E+01    1   T
57    0.16005163E+03    0.1000E+01    1   T
58    0.15589017E+03    0.1000E+01    1   T
59    0.15002675E+03    0.1000E+01    1   T
60    0.14880240E+03    0.1000E+01    1   T
61    0.14575210E+03    0.1000E+01    1   T
62    0.14330867E+03    0.1000E+01    1   T
63    0.13971749E+03    0.1000E+01    1   T
64    0.13538246E+03    0.1000E+01    1   T
65    0.13114666E+03    0.1000E+01    1   T
66    0.12736522E+03    0.1000E+01    1   T
67    0.12508079E+03    0.1000E+01    1   T
68    0.12196082E+03    0.1000E+01    1   T
69    0.11954196E+03    0.1000E+01    1   T
70    0.11726417E+03    0.1000E+01    1   T
71    0.11580668E+03    0.1000E+01    1   T
72    0.11362718E+03    0.1000E+01    1   T
73    0.11026771E+03    0.1000E+01    1   T
74    0.10745256E+03    0.1000E+01    1   T
75    0.10488156E+03    0.1000E+01    1   T
76    0.10208402E+03    0.1000E+01    1   T
77    0.98753975E+02    0.1000E+01    1   T
78    0.95446776E+02    0.1000E+01    1   T
79    0.93140535E+02    0.1000E+01    1   T
80    0.90977884E+02    0.1000E+01    1   T
81    0.89219212E+02    0.1000E+01    1   T
82    0.86910777E+02    0.1000E+01    1   T
83    0.82947125E+02    0.1000E+01    1   T
84    0.79848558E+02    0.1000E+01    1   T
85    0.77181748E+02    0.1000E+01    1   T
86    0.75459876E+02    0.1000E+01    1   T
87    0.73531433E+02    0.1000E+01    1   T
88    0.71820184E+02    0.1000E+01    1   T
89    0.70051641E+02    0.1000E+01    1   T
90    0.68863280E+02    0.1000E+01    1   T
91    0.67143086E+02    0.1000E+01    1   T
92    0.64122670E+02    0.1000E+01    1   T
93    0.62080106E+02    0.1000E+01    1   T
94    0.60794132E+02    0.1000E+01    1   T
95    0.59166291E+02    0.1000E+01    1   T
96    0.56957767E+02    0.1000E+01    1   T
97    0.55521934E+02    0.1000E+01    1   T
98    0.54657585E+02    0.1000E+01    1   T
99    0.53522714E+02    0.1000E+01    1   T
100    0.52217267E+02    0.1000E+01    1   T
101    0.50566523E+02    0.1000E+01    1   T
102    0.49046399E+02    0.1000E+01    1   T
103    0.47632646E+02    0.1000E+01    1   T
104    0.45799826E+02    0.1000E+01    1   T
105    0.44159894E+02    0.1000E+01    1   T
106    0.42969529E+02    0.1000E+01    1   T
107    0.41541945E+02    0.1000E+01    1   T
108    0.40656107E+02    0.5000E+00    2   T
109    0.39214669E+02    0.1000E+01    1   T
110    0.38179556E+02    0.1000E+01    1   T
111    0.37105084E+02    0.1000E+01    1   T
112    0.36035462E+02    0.1000E+01    1   T
113    0.35008252E+02    0.1000E+01    1   T
114    0.34086023E+02    0.1000E+01    1   T
115    0.33282006E+02    0.1000E+01    1   T
116    0.31845562E+02    0.1000E+01    1   T
117    0.30621091E+02    0.1000E+01    1   T
118    0.29812287E+02    0.5000E+00    2   T
119    0.29202870E+02    0.1000E+01    1   T
120    0.28938178E+02    0.1000E+01    1   T
121    0.28675154E+02    0.1000E+01    1   T
122    0.28178359E+02    0.1000E+01    1   T
123    0.27419991E+02    0.1000E+01    1   T
124    0.26857988E+02    0.1000E+01    1   T
125    0.26250935E+02    0.1000E+01    1   T
126    0.25693074E+02    0.1000E+01    1   T
127    0.25493091E+02    0.1000E+01    1   T
128    0.25192106E+02    0.1000E+01    1   T
129    0.24939566E+02    0.1000E+01    1   T
130    0.24658256E+02    0.1000E+01    1   T
131    0.24331230E+02    0.1000E+01    1   T
132    0.24030938E+02    0.1000E+01    1   T
133    0.23759193E+02    0.1000E+01    1   T
134    0.23439426E+02    0.1000E+01    1   T
135    0.23050374E+02    0.1000E+01    1   T
136    0.22671840E+02    0.1000E+01    1   T
137    0.22309514E+02    0.1000E+01    1   T
138    0.21977935E+02    0.1000E+01    1   T
139    0.21669991E+02    0.1000E+01    1   T
140    0.21350735E+02    0.1000E+01    1   T
141    0.21056988E+02    0.1000E+01    1   T
142    0.20673538E+02    0.1000E+01    1   T
143    0.20213847E+02    0.1000E+01    1   T
144    0.19817401E+02    0.1000E+01    1   T
145    0.19423732E+02    0.1000E+01    1   T
